12÷2=？  	12÷2=？  <br>谜底：<font color="#FFFFFF">商陆  </font>\n
曹操走马看花 （字）	曹操走马看花 （字）<br>谜底：<font color="#FFFFFF">骄</font>\n
草木之中有一人（字）	草木之中有一人（字）<br>谜底：<font color="#FFFFFF">茶</font>\n
草色遥看近却无。  	草色遥看近却无。  <br>谜底：<font color="#FFFFFF">碧痕</font>\n
草上飞（字）	草上飞（字）<br>谜底：<font color="#FFFFFF">早</font>\n
层林尽染（打中国小说名一）  	层林尽染（打中国小说名一）  <br>谜底：<font color="#FFFFFF">万山红</font>\n
插翅难逃。 （打一国产故事片名）  	插翅难逃。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">天罗地网</font>\n
查帐。（打一数学名词）  	查帐。（打一数学名词）  <br>谜底：<font color="#FFFFFF">对数  </font>\n
拆除南边两堵墙 （字 ）	拆除南边两堵墙 （字 ）<br>谜底：<font color="#FFFFFF">幸</font>\n
拆倒以后，动工修建（水浒人物）	拆倒以后，动工修建（水浒人物）<br>谜底：<font color="#FFFFFF">杜兴</font>\n
拆信	拆信<br>谜底：<font color="#FFFFFF">是开封! </font>\n
铲草不留根（二字数学名词）	铲草不留根（二字数学名词）<br>谜底：<font color="#FFFFFF">整除</font>\n
产房见习（二字影片名）	产房见习（二字影片名）<br>谜底：<font color="#FFFFFF">人生</font>\n
场前人争先（字）	场前人争先（字）<br>谜底：<font color="#FFFFFF">坎</font>\n
常看不厌（年号）	常看不厌（年号）<br>谜底：<font color="#FFFFFF">久视</font>\n
常青指路（打中国小说名一）  	常青指路（打中国小说名一）  <br>谜底：<font color="#FFFFFF">金光大道</font>\n
长白山的冬天。（打中国小说名一）  	长白山的冬天。（打中国小说名一）  <br>谜底：<font color="#FFFFFF">林海雪原</font>\n
长伴诗书。  	长伴诗书。  <br>谜底：<font color="#FFFFFF">芸香草  </font>\n
长长瘦高个， 压着满肚火， 辫子一拉断， 身子就炸破。 （打一武器） 	长长瘦高个， 压着满肚火， 辫子一拉断， 身子就炸破。 （打一武器） <br>谜底：<font color="#FFFFFF">手榴弹</font>\n
长长一条街， 沿着挂招牌， 下雨没水吃， 天旱水漫街。 （打一农具） 	长长一条街， 沿着挂招牌， 下雨没水吃， 天旱水漫街。 （打一农具） <br>谜底：<font color="#FFFFFF">水车</font>\n
长的少，短的多，脚去踩，手去摸。 	长的少，短的多，脚去踩，手去摸。 <br>谜底：<font color="#FFFFFF">是梯子! </font>\n
长的少，短的多，脚去踩，手去摸。	长的少，短的多，脚去踩，手去摸。<br>谜底：<font color="#FFFFFF">梯子</font>\n
长的少,短的多,脚去踩,手去摸	长的少,短的多,脚去踩,手去摸<br>谜底：<font color="#FFFFFF">是梯子! </font>\n
长个乌龟相，披件红外衣， 专门吸人血，装进大肚皮。 	长个乌龟相，披件红外衣， 专门吸人血，装进大肚皮。 <br>谜底：<font color="#FFFFFF">臭虫</font>\n
长河落日圆 （字 ）	长河落日圆 （字 ）<br>谜底：<font color="#FFFFFF">旦</font>\n
长恨歌（成语）	长恨歌（成语）<br>谜底：<font color="#FFFFFF">苦中作乐</font>\n
长江、珠江、黑龙江。（打河北一地名）  	长江、珠江、黑龙江。（打河北一地名）  <br>谜底：<font color="#FFFFFF">三河  </font>\n
长江黄河皆流入海。 （成语）	长江黄河皆流入海。 （成语）<br>谜底：<font color="#FFFFFF">殊途同归 </font>\n
长脚秀才，嘴儿厉害，白天飞去，夜晚又来	长脚秀才，嘴儿厉害，白天飞去，夜晚又来<br>谜底：<font color="#FFFFFF">蚊子</font>\n
长久不语。 （打外国影片名一）  	长久不语。 （打外国影片名一）  <br>谜底：<font color="#FFFFFF">沉默的人  </font>\n
长命百岁	长命百岁<br>谜底：<font color="#FFFFFF">延寿! </font>\n
长期住医院（字）	长期住医院（字）<br>谜底：<font color="#FFFFFF">疚</font>\n
长身圆胸膛， 嘴在水里张， 尾巴甩渠旁， 旱涝都能防。 （打一农机） 	长身圆胸膛， 嘴在水里张， 尾巴甩渠旁， 旱涝都能防。 （打一农机） <br>谜底：<font color="#FFFFFF">抽水机 </font>\n
长生不老。（打黑龙江一地名）  	长生不老。（打黑龙江一地名）  <br>谜底：<font color="#FFFFFF">延寿  </font>\n
长腿男人(打一食物)	长腿男人(打一食物)<br>谜底：<font color="#FFFFFF">是蛋糕! </font>\n
长腿女人(打一化妆品)	长腿女人(打一化妆品)<br>谜底：<font color="#FFFFFF">唇膏! </font>\n
长相俊俏，爱舞爱跳， 春花一开，它就来到。 	长相俊俏，爱舞爱跳， 春花一开，它就来到。 <br>谜底：<font color="#FFFFFF">蝴蝶</font>\n
长着两只角，翻穿大皮袄， 吃的绿草草，拉的黑枣枣。 	长着两只角，翻穿大皮袄， 吃的绿草草，拉的黑枣枣。 <br>谜底：<font color="#FFFFFF">羊</font>\n
朝辞白帝，暮到江陵。 （成语）	朝辞白帝，暮到江陵。 （成语）<br>谜底：<font color="#FFFFFF">一日千里 </font>\n
朝歌。（打内蒙一地名）  	朝歌。（打内蒙一地名）  <br>谜底：<font color="#FFFFFF">商都  </font>\n
朝歌。（打内蒙一地名） 	朝歌。（打内蒙一地名） <br>谜底：<font color="#FFFFFF">商都 </font>\n
扯谎吹牛唱高调。 （打一相声）  	扯谎吹牛唱高调。 （打一相声）  <br>谜底：<font color="#FFFFFF">假大空  </font>\n
臣人奏章王曰可。  	臣人奏章王曰可。  <br>谜底：<font color="#FFFFFF">王允</font>\n
晨光照遍三湘四水。 （打毛主席诗词一句）  	晨光照遍三湘四水。 （打毛主席诗词一句）  <br>谜底：<font color="#FFFFFF">芙蓉国里尽朝晖  </font>\n
晨鸡齐报晓。（打一物理名词）  	晨鸡齐报晓。（打一物理名词）  <br>谜底：<font color="#FFFFFF">共鸣  </font>\n
晨钟雄鸡报晓啼（四字外交名词）	晨钟雄鸡报晓啼（四字外交名词）<br>谜底：<font color="#FFFFFF">联合声明</font>\n
陈霸先（交通名词）	陈霸先（交通名词）<br>谜底：<font color="#FFFFFF">抢道</font>\n
陈旧书刊（文学名词）	陈旧书刊（文学名词）<br>谜底：<font color="#FFFFFF">古文</font>\n
陈鲤庭（四字影片名）	陈鲤庭（四字影片名）<br>谜底：<font color="#FFFFFF">孔子故里</font>\n
陈年灶王像。 （打唐诗七言一句）  	陈年灶王像。 （打唐诗七言一句）  <br>谜底：<font color="#FFFFFF">满面尘灰烟火色  </font>\n
城市民谣（现代文人）	城市民谣（现代文人）<br>谜底：<font color="#FFFFFF">郭风</font>\n
城市之光。 （打一国产故事片名）  	城市之光。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">万家灯火  </font>\n
城头月 （字 ）	城头月 （字 ）<br>谜底：<font color="#FFFFFF">骨</font>\n
城乡千万家，种些无叶瓜， 藤子长又长，到处他都爬， 不论冬和夏，夜晚都开花。 （打一照明用具）  	城乡千万家，种些无叶瓜， 藤子长又长，到处他都爬， 不论冬和夏，夜晚都开花。 （打一照明用具）  <br>谜底：<font color="#FFFFFF">电灯  </font>\n
成群进口羊（字）	成群进口羊（字）<br>谜底：<font color="#FFFFFF">尹</font>\n
呈上力作候佳音（字）	呈上力作候佳音（字）<br>谜底：<font color="#FFFFFF">加</font>\n
乘风添帆。（打一非洲国家名） 	乘风添帆。（打一非洲国家名） <br>谜底：<font color="#FFFFFF">加蓬 </font>\n
乘人不备（字）	乘人不备（字）<br>谜底：<font color="#FFFFFF">乖</font>\n
吃进麦穗一堆， 洒下金雨一片， 粮食屯满如山， 它却不知疲倦。 （打一农机）	吃进麦穗一堆， 洒下金雨一片， 粮食屯满如山， 它却不知疲倦。 （打一农机）<br>谜底：<font color="#FFFFFF">脱粒机</font>\n
吃亏泄气（字）	吃亏泄气（字）<br>谜底：<font color="#FFFFFF">号</font>\n
持久和平。（打陕西一地名）  	持久和平。（打陕西一地名）  <br>谜底：<font color="#FFFFFF">长安  </font>\n
持久和平。（打陕西一地名） 	持久和平。（打陕西一地名） <br>谜底：<font color="#FFFFFF">长安</font>\n
持久战（四字体育用语）	持久战（四字体育用语）<br>谜底：<font color="#FFFFFF">打延长期</font>\n
池里一只盘，大水盛不满， 小雨纷纷落上头， 好似珍珠一串串。	池里一只盘，大水盛不满， 小雨纷纷落上头， 好似珍珠一串串。<br>谜底：<font color="#FFFFFF">荷花</font>\n
池塘四角方， 有水池中放， 黑人去溜冰， 满地黑泥场。 （打一文具） 	池塘四角方， 有水池中放， 黑人去溜冰， 满地黑泥场。 （打一文具） <br>谜底：<font color="#FFFFFF">砚 </font>\n
池中有个小姑娘， 从小生在水中央， 粉红笑脸迎风摆， 只只绿船不划桨。 	池中有个小姑娘， 从小生在水中央， 粉红笑脸迎风摆， 只只绿船不划桨。 <br>谜底：<font color="#FFFFFF">荷叶</font>\n
赤橙黄绿青蓝紫， 犹如彩练当空舞， 夏日雨后常常见， 太阳在西它在东。 （打一自然现象） 	赤橙黄绿青蓝紫， 犹如彩练当空舞， 夏日雨后常常见， 太阳在西它在东。 （打一自然现象） <br>谜底：<font color="#FFFFFF">虹</font>\n
赤道气流（打鲁迅著作名一）  	赤道气流（打鲁迅著作名一）  <br>谜底：<font color="#FFFFFF">热风  </font>\n
赤水翻波。 （打一国产故事片名）  	赤水翻波。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">红河激浪  </font>\n
赤水翻波。 （打一国产故事片名）  	赤水翻波。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">红河激浪  </font>\n
冲洗底片。（打一物理名词）  	冲洗底片。（打一物理名词）  <br>谜底：<font color="#FFFFFF">现象</font>\n
抽搐（成语）	抽搐（成语）<br>谜底：<font color="#FFFFFF">心惊肉跳</font>\n
初次见面。（打广东一地名）  	初次见面。（打广东一地名）  <br>谜底：<font color="#FFFFFF">新会  </font>\n
初见成效。（打一非洲国家名） 	初见成效。（打一非洲国家名） <br>谜底：<font color="#FFFFFF">刚果 </font>\n
初升的太（打中国小说名一）  	初升的太（打中国小说名一）  <br>谜底：<font color="#FFFFFF">红日</font>\n
初一。 (成语)	初一。 (成语)<br>谜底：<font color="#FFFFFF">日新月异 </font>\n
出海捕捞结同盟（称谓）	出海捕捞结同盟（称谓）<br>谜底：<font color="#FFFFFF">网友</font>\n
出家人（三字俗语）	出家人（三字俗语）<br>谜底：<font color="#FFFFFF">门外汉</font>\n
出门打伞 （字） 	出门打伞 （字） <br>谜底：<font color="#FFFFFF">露</font>\n
出门带伞 （字）	出门带伞 （字）<br>谜底：<font color="#FFFFFF">露</font>\n
出门全凭交通图（五字俗语）	出门全凭交通图（五字俗语）<br>谜底：<font color="#FFFFFF">不看不知道</font>\n
出其不意，攻其不备。 （打一国产故事片名）  	出其不意，攻其不备。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">奇袭  </font>\n
雏凤凌空。 （打唐诗七言一句）  	雏凤凌空。 （打唐诗七言一句）  <br>谜底：<font color="#FFFFFF">杨家有女初长成  </font>\n
楚怀王遣横事齐。 （打数学、化学名词各一）  	楚怀王遣横事齐。 （打数学、化学名词各一）  <br>谜底：<font color="#FFFFFF">质子、求和  </font>\n
处处出风头（交通名词）	处处出风头（交通名词）<br>谜底：<font color="#FFFFFF">时刻表</font>\n
处暑将届。  	处暑将届。  <br>谜底：<font color="#FFFFFF">伏完</font>\n
川币。  	川币。  <br>谜底：<font color="#FFFFFF">巴金</font>\n
川边一人带弓行 （字 ）	川边一人带弓行 （字 ）<br>谜底：<font color="#FFFFFF">佛</font>\n
穿黄袍，戴铁帽， 半寸小人脾气躁， 一撞屁股脑袋飞， 打死豺狼狗强盗。 （打一武器） 	穿黄袍，戴铁帽， 半寸小人脾气躁， 一撞屁股脑袋飞， 打死豺狼狗强盗。 （打一武器） <br>谜底：<font color="#FFFFFF">子弹</font>\n
穿件硬壳袍，缩头又缩脑， 水面四脚划，岸上慢慢跑。 	穿件硬壳袍，缩头又缩脑， 水面四脚划，岸上慢慢跑。 <br>谜底：<font color="#FFFFFF">乌龟</font>\n
穿林而过。  	穿林而过。  <br>谜底：<font color="#FFFFFF">木通  </font>\n
船底硬，船面高， 四把桨，慢慢摇。 	船底硬，船面高， 四把桨，慢慢摇。 <br>谜底：<font color="#FFFFFF">鱼</font>\n
窗前柳线拂樱桃 （字） 	窗前柳线拂樱桃 （字） <br>谜底：<font color="#FFFFFF">容</font>\n
床前明月光 （字） 	床前明月光 （字） <br>谜底：<font color="#FFFFFF">旷</font>\n
闯王失马（字）	闯王失马（字）<br>谜底：<font color="#FFFFFF">门</font>\n
吹火筒。  	吹火筒。  <br>谜底：<font color="#FFFFFF">呼延灼</font>\n
春。 （打话剧名二）  	春。 （打话剧名二）  <br>谜底：<font color="#FFFFFF">三人行、日出  </font>\n
春。 （打音乐名词二）  	春。 （打音乐名词二）  <br>谜底：<font color="#FFFFFF">前奏、半音  </font>\n
春蚕到死丝方尽，蜡炬成灰泪始干。 （成语）	春蚕到死丝方尽，蜡炬成灰泪始干。 （成语）<br>谜底：<font color="#FFFFFF">鞠躬尽瘁</font>\n
春蚕吐丝。 （成语）	春蚕吐丝。 （成语）<br>谜底：<font color="#FFFFFF">作茧自缚 </font>\n
春城似锦。（打北京一地名）  	春城似锦。（打北京一地名）  <br>谜底：<font color="#FFFFFF">花市  </font>\n
春城似锦。（打北京一地名）	春城似锦。（打北京一地名）<br>谜底：<font color="#FFFFFF">花市</font>\n
春城无处不飞花（礼貌用语）	春城无处不飞花（礼貌用语）<br>谜底：<font color="#FFFFFF">多谢</font>\n
春风吹遍大特区（地名）	春风吹遍大特区（地名）<br>谜底：<font color="#FFFFFF">青岛</font>\n
春风吹又生。（打鲁迅著作名一）  	春风吹又生。（打鲁迅著作名一）  <br>谜底：<font color="#FFFFFF">野草</font>\n
春风吹又生（现代文人二）	春风吹又生（现代文人二）<br>谜底：<font color="#FFFFFF">绿原、草萌</font>\n
春风吹又生（字）	春风吹又生（字）<br>谜底：<font color="#FFFFFF">茁 </font>\n
春风又绿江南岸。（打二杂志名）  	春风又绿江南岸。（打二杂志名）  <br>谜底：<font color="#FFFFFF">大地、萌芽  </font>\n
春光日（六字影片名）	春光日（六字影片名）<br>谜底：<font color="#FFFFFF">三个失踪的人</font>\n
春和秋都不热（字）	春和秋都不热（字）<br>谜底：<font color="#FFFFFF">秦</font>\n
春来又听泉声响（字）	春来又听泉声响（字）<br>谜底：<font color="#FFFFFF">权</font>\n
春临小桥玉人离（字）	春临小桥玉人离（字）<br>谜底：<font color="#FFFFFF">琛</font>\n
春末夏初 （字 ）	春末夏初 （字 ）<br>谜底：<font color="#FFFFFF">旦</font>\n
春秋半部，日月同辉。  	春秋半部，日月同辉。  <br>谜底：<font color="#FFFFFF">秦明</font>\n
春秋后传（三字军事名词）	春秋后传（三字军事名词）<br>谜底：<font color="#FFFFFF">交战国</font>\n
